Year,Cars,Male,AgeGroup,City,TotalWeightedTrips,TotalWeightedKilometers,WeightedPersons,WeightedAverageTrips,WeightedAvgPartySizeCar,ShareTrips_Walk,ShareTrips_Bike,ShareTrips_Car,ShareTrips_PT,ShareKM_Walk,ShareKM_Bike,ShareKM_Car,ShareKM_PT
2008,0,0,56-65,1,101589.1909,810003.975,32654.53894,3.111028182,1.253647932,0.395153576,0.26424667,0.126410278,0.214189476,0.058938748,0.090773382,0.160497237,0.689790632
2008,0,0,66+,0,61367.3425,501624.197,21494.70097,2.854998661,1.798427885,0.441109408,0.205281335,0.263028372,0.090580885,0.039786506,0.037088563,0.452825252,0.470299679
2008,0,0,66+,1,185886.2703,997264.4489,65147.54298,2.853312063,1.269849503,0.38773715,0.191243175,0.122241462,0.298778213,0.084594932,0.076162771,0.333011986,0.506230311
2008,0,1,0-17,0,40586.25723,429723.159,12968.56845,3.129586537,1.811036965,0.20050951,0.364440014,0.30793175,0.127118726,0.012795292,0.098478008,0.482394652,0.406332047
2008,0,1,0-17,1,67996.55666,564279.7325,21749.90551,3.126292049,2.163338595,0.322048632,0.291001399,0.228178862,0.158771107,0.033541863,0.073439314,0.645566404,0.247452419
2008,0,1,18-30,0,35153.43123,579568.0933,12318.32277,2.853751432,1.113201819,0.291607321,0.128772226,0.379230127,0.200390326,0.018592014,0.023367741,0.51478862,0.443251625
2008,0,1,18-30,1,400612.6526,3551700.896,120239.2651,3.331795584,0.988277411,0.179683944,0.42968297,0.214973381,0.175659706,0.018369242,0.145413449,0.371432457,0.464784852
2008,0,1,31-55,0,28024.87716,258589.6008,10262.25081,2.730870417,0.925984376,0.310568734,0.280874538,0.257777719,0.150779008,0.027009827,0.10585978,0.508025588,0.359104805
2008,0,1,31-55,1,254925.9194,2107979.769,77359.80439,3.295327869,1.023445481,0.276660531,0.411401276,0.135269134,0.17666906,0.033997807,0.187368496,0.328172406,0.450461291
2008,0,1,56-65,0,15421.77736,111302.6215,4510.179747,3.419326551,0.922553897,0.407640787,0.339753109,0.150244763,0.102361341,0.0698461,0.094715232,0.317259347,0.518179322
2008,0,1,56-65,1,55425.32926,363196.2354,16784.87461,3.302099691,1.399882248,0.380119796,0.348590776,0.079951753,0.191337675,0.05895222,0.23171641,0.223236093,0.486095276
2008,0,1,66+,0,12216.06959,71423.33569,5097.166792,2.396639171,1.774060832,0.490881917,0.268714676,0.106000862,0.134402545,0.070297051,0.093583555,0.193312151,0.642807244
2008,0,1,66+,1,56403.84563,272778.1295,20946.13634,2.692804282,1.317339739,0.36704168,0.289478138,0.074502692,0.26897749,0.100460675,0.178427856,0.270912687,0.450198782
2008,1,0,0-17,0,240125.2151,2376731.401,71919.5325,3.338803893,2.047618459,0.187932977,0.293634088,0.382176784,0.136256151,0.016366929,0.051689875,0.622364754,0.309578442
2008,1,0,0-17,1,279101.1676,2058797.573,76850.20201,3.63175581,1.908060552,0.269188828,0.316609884,0.285497053,0.128704236,0.032531555,0.0743689,0.618821011,0.274278533
2008,1,0,18-30,0,219277.8982,2856498.955,67022.59752,3.271700983,0.768951015,0.137422725,0.076783201,0.735979216,0.049814859,0.008514833,0.02131476,0.900976348,0.06919406
2008,1,0,18-30,1,417963.0506,5486411.492,117199.2545,3.566260319,0.784235572,0.179025229,0.158227732,0.581369029,0.08137801,0.017384414,0.034467231,0.796575514,0.151572842
2008,1,0,31-55,0,1025705.447,13919430.88,265502.0404,3.863267661,0.754196904,0.105488819,0.092358393,0.783920482,0.018232306,0.010259159,0.015852688,0.944465059,0.029423094
2008,1,0,31-55,1,1122787.122,10834687.64,287444.2833,3.906103502,0.792079169,0.158423105,0.195047335,0.601771749,0.044757811,0.020781673,0.054322523,0.821091628,0.103804176
2008,1,0,56-65,0,377527.2889,4732791.752,109601.3407,3.444549917,0.536406451,0.180115767,0.145837309,0.654593481,0.019453443,0.018011475,0.031705906,0.837775258,0.112507361
2008,1,0,56-65,1,355928.3995,3967323.037,106466.9094,3.34308943,0.573016515,0.185654907,0.170638144,0.605163144,0.038543806,0.022075311,0.048114335,0.800437152,0.129373202
2008,1,0,66+,0,222561.4685,2447584.477,73524.72068,NA,0.625546783,0.241656814,0.080091127,0.665596506,0.012655553,0.023240485,0.012877584,0.900677405,0.063204527
2008,1,0,66+,1,267638.8394,2749595.534,80334.05053,3.331574067,0.637593559,0.204393601,0.162324533,0.578534975,0.05474689,0.024294614,0.039962624,0.751833487,0.183909275
2008,1,1,0-17,0,214174.2553,1828854.29,68726.39245,3.116331989,1.925846932,0.145656812,0.464716316,0.243495616,0.146131256,0.011852482,0.085842874,0.543306249,0.358998396
2008,1,1,0-17,1,233343.1968,1395470.737,71667.80502,3.255899867,2.115766084,0.213134481,0.446401185,0.242942161,0.097522174,0.030783627,0.145715966,0.67107035,0.152430057
2008,1,1,18-30,0,210676.2098,4298294.24,65321.93895,3.225198351,0.463641412,0.077149736,0.094537444,0.738830844,0.089481977,0.00287558,0.01945369,0.78596875,0.191701981
2008,1,1,18-30,1,331965.4503,5221171.446,97516.07578,3.404212563,0.563312151,0.148449343,0.103944513,0.667192202,0.080413943,0.011185686,0.016018011,0.893009352,0.079786952
2008,1,1,31-55,0,817216.3535,15129489.72,225631.9748,3.621899574,0.572891353,0.065632561,0.078728312,0.843685103,0.011954024,0.004803962,0.01641224,0.943681129,0.035102669
2008,1,1,31-55,1,997597.1716,14113702.28,277106.7863,3.600045978,0.672280193,0.115223277,0.148927683,0.695924484,0.039924557,0.009696261,0.045745382,0.872219723,0.072338634
2008,1,1,56-65,0,336739.2161,5507843.593,107978.7104,3.118570456,0.454383491,0.076335637,0.108540578,0.801851799,0.013271987,0.007088558,0.026013147,0.948795254,0.018103041
2008,1,1,56-65,1,383273.2565,5635554.628,114046.5559,3.360673661,0.504567021,0.11278444,0.16375455,0.682702508,0.040758502,0.00942701,0.047441588,0.863186051,0.079945351
2008,1,1,66+,0,293028.9301,4152098.831,96548.33196,3.035049122,0.575883157,0.144294794,0.091234045,0.749472895,0.014998266,0.013691333,0.021261735,0.942021771,0.023025161
2008,1,1,66+,1,305675.8638,3058029.944,92331.67326,3.310628445,0.57543181,0.18955539,0.115362204,0.657404473,0.037677933,0.026696571,0.043012572,0.88161206,0.048678798
2008,2,0,0-17,0,133606.1508,1282582.598,38386.95324,3.480509378,1.889610165,0.139202434,0.277504651,0.404643328,0.178649587,0.015473067,0.055649137,0.658519292,0.270358504
2008,2,0,0-17,1,91708.92909,809090.6956,25026.60995,3.664456723,1.68673757,0.166241574,0.297539683,0.454707129,0.081511613,0.018606406,0.07616011,0.679459929,0.225773555
2008,2,0,18-30,0,111445.8535,1705421.022,28188.94631,3.953530304,0.738029126,0.120126384,0.050751277,0.782927235,0.046195104,0.006050674,0.014406504,0.884374757,0.095168066
2008,2,0,18-30,1,90750.55203,1139500.498,23220.51719,3.908205458,0.670888969,0.185133785,0.099968265,0.62526179,0.08963616,0.014844079,0.021637146,0.636998301,0.326520474
2008,2,0,31-55,0,500298.8398,6872005.853,122406.8469,4.087180191,0.704374278,0.08995302,0.044469469,0.860038368,0.005539143,0.00942814,0.007519424,0.945383363,0.037669073
2008,2,0,31-55,1,298833.6321,3985395.627,72083.5715,4.145655188,0.830046,0.1122788,0.08137961,0.787592903,0.018748687,0.00772654,0.023511485,0.897339943,0.071422031
2008,2,0,56-65,0,73968.03719,1059173.943,20816.01619,3.553419469,0.350880343,0.084498733,0.104517237,0.786425025,0.024559005,0.005668172,0.010535703,0.946984823,0.036811302
2008,2,0,56-65,1,59829.74518,886343.4742,16999.64641,3.519469978,0.562851095,0.088145026,0.054355718,0.844969687,0.012529568,0.011248754,0.007517218,0.9591019,0.022132128
2008,2,0,66+,0,18729.35218,520813.7602,6166.056292,3.037492895,0.52548516,0.075575721,0.029098227,0.870608407,0.024717645,0.004293885,0.002203769,0.777952376,0.215549971
2008,2,0,66+,1,15319.94522,168107.5455,4926.765783,3.109533899,0.578294344,0.134738181,0.105905194,0.695242366,0.064114259,0.014303542,0.057121019,0.87348862,0.055086819
2008,2,1,0-17,0,156588.687,1621065.054,45204.24455,3.464026191,1.931984978,0.163347752,0.314708926,0.371158141,0.150785182,0.010736308,0.067413317,0.591940152,0.329910223
2008,2,1,0-17,1,96034.02095,751035.4724,28315.25646,3.391599899,1.969575103,0.204219903,0.412374432,0.287111466,0.096294198,0.015910022,0.088906357,0.682438308,0.212745313
2008,2,1,18-30,0,144894.612,2721435.766,40399.12712,3.586577789,0.395129075,0.048552608,0.029477912,0.866119862,0.055849618,0.002343803,0.006511837,0.856749511,0.13439485
2008,2,1,18-30,1,84686.78516,867580.4422,21928.53333,3.861944796,0.450027389,0.08741274,0.080547271,0.751852443,0.080187546,0.014489004,0.03513887,0.819432883,0.130939243
2008,2,1,31-55,0,538136.1802,12090722.06,144706.0718,3.718822393,0.603634909,0.060601859,0.038126365,0.898261427,0.00301035,0.003308459,0.010265699,0.962788603,0.023637239
2008,2,1,31-55,1,381300.8744,8313419.15,92956.09561,4.101945891,0.534453523,0.083473268,0.040688446,0.865373199,0.010465087,0.007278197,0.004647327,0.960334094,0.027740382
2008,2,1,56-65,0,114155.5389,2754807.709,33283.74268,3.429768702,0.416865299,0.088541521,0.022025841,0.87913808,0.010294558,0.005002258,0.003453206,0.95349178,0.038052756
2008,2,1,56-65,1,73298.74553,1205065.526,21232.72934,3.452158428,0.272495033,0.097342172,0.049247073,0.837253232,0.016157523,0.005837788,0.016120182,0.943627786,0.034414244
2008,2,1,66+,0,41184.93999,674497.7404,11794.11814,3.491989778,0.55469505,0.067318194,0.036215701,0.894009316,0.002456789,0.007300365,0.009276734,0.971421949,0.012000952
2008,2,1,66+,1,33969.17683,599818.9088,9232.520181,3.679296244,0.506533509,0.118717898,0.109670285,0.768541712,0.003070104,0.009093494,0.020326372,0.969189196,0.001390939
2009,0,0,0-17,0,16047.34796,151972.2516,5344.623926,3.002521445,2.635662328,0.277591079,0.358090831,0.207570831,0.156747259,0.024578283,0.071168994,0.70820917,0.196043552
